#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG21787	2	2	Xu	REFSEQ hypothetical protein
VOG21788	2	2	Xu	REFSEQ hypothetical protein
VOG21789	2	2	Xu	REFSEQ hypothetical protein
VOG21790	2	2	Xu	REFSEQ hypothetical protein
VOG21791	2	2	Xu	REFSEQ hypothetical protein
VOG21792	2	2	Xu	REFSEQ hypothetical protein
VOG21793	2	2	Xu	REFSEQ hypothetical protein
VOG21794	2	2	Xu	REFSEQ hypothetical protein
VOG21795	2	2	Xu	REFSEQ hypothetical protein
VOG21796	2	2	Xu	REFSEQ hypothetical protein
VOG21797	2	2	Xu	REFSEQ hypothetical protein
VOG21798	2	2	Xu	REFSEQ hypothetical protein
VOG21799	2	2	Xu	REFSEQ hypothetical protein
VOG21800	2	2	Xu	REFSEQ hypothetical protein
VOG21801	2	2	Xu	REFSEQ hypothetical protein
VOG21802	2	2	Xu	REFSEQ hypothetical protein
VOG21803	2	2	Xu	REFSEQ hypothetical protein
VOG21804	2	2	Xu	REFSEQ hypothetical protein
VOG21805	2	2	Xu	REFSEQ hypothetical protein
VOG21806	2	2	Xu	REFSEQ hypothetical protein
VOG21807	2	2	Xu	REFSEQ hypothetical protein
VOG21808	2	2	Xu	REFSEQ hypothetical protein
VOG21809	2	2	Xu	REFSEQ hypothetical protein
VOG21810	2	2	Xu	REFSEQ hypothetical protein
VOG21811	2	2	Xu	REFSEQ hypothetical protein
VOG21812	2	2	Xu	REFSEQ hypothetical protein
VOG21813	2	2	Xu	REFSEQ hypothetical protein
VOG21814	2	2	Xu	REFSEQ hypothetical protein
VOG21815	2	2	Xu	REFSEQ hypothetical protein
VOG21816	2	2	Xu	REFSEQ hypothetical protein
VOG21817	2	2	Xu	REFSEQ hypothetical protein
VOG21818	2	2	Xu	REFSEQ hypothetical protein
VOG21819	2	2	Xu	REFSEQ hypothetical protein
VOG21820	2	2	Xu	REFSEQ hypothetical protein
VOG21821	2	2	Xu	REFSEQ hypothetical protein
VOG21822	2	2	Xu	REFSEQ hypothetical protein
VOG21823	2	2	Xu	REFSEQ hypothetical protein
VOG21824	2	2	Xu	REFSEQ hypothetical protein
VOG21825	2	2	Xu	REFSEQ hypothetical protein
VOG21826	2	2	Xu	REFSEQ hypothetical protein
VOG21827	2	2	Xu	REFSEQ hypothetical protein
VOG21828	2	2	Xu	REFSEQ hypothetical protein
VOG21829	2	2	Xu	REFSEQ hypothetical protein
VOG21830	2	2	Xu	REFSEQ hypothetical protein
VOG21831	2	2	Xu	REFSEQ hypothetical protein
VOG21832	2	2	Xu	REFSEQ hypothetical protein
VOG21833	2	2	Xu	REFSEQ hypothetical protein
VOG21834	2	2	Xu	REFSEQ hypothetical protein
VOG21835	2	2	Xu	REFSEQ hypothetical protein
VOG21836	2	2	Xu	REFSEQ hypothetical protein
VOG21837	2	2	Xu	REFSEQ hypothetical protein
VOG21838	2	2	Xu	REFSEQ hypothetical protein
VOG21839	2	2	Xu	REFSEQ hypothetical protein
VOG21840	2	2	Xu	REFSEQ hypothetical protein
VOG21841	2	2	Xu	REFSEQ hypothetical protein
VOG21842	2	2	Xu	REFSEQ hypothetical protein
VOG21843	2	2	Xu	REFSEQ hypothetical protein
VOG21844	2	2	Xu	REFSEQ hypothetical protein
VOG21845	2	2	Xu	REFSEQ hypothetical protein
VOG21846	2	2	Xu	REFSEQ hypothetical protein
VOG21847	2	2	Xu	REFSEQ hypothetical protein
VOG21848	2	2	Xu	REFSEQ hypothetical protein
VOG21849	2	2	Xu	REFSEQ hypothetical protein
VOG21850	2	2	Xu	REFSEQ hypothetical protein
VOG21851	2	2	Xu	REFSEQ hypothetical protein
VOG21852	2	2	Xu	REFSEQ hypothetical protein
VOG21853	2	2	Xu	REFSEQ hypothetical protein
VOG21854	2	2	Xu	REFSEQ hypothetical protein
VOG21855	2	2	Xu	REFSEQ hypothetical protein
VOG21856	2	2	Xu	REFSEQ hypothetical protein
VOG21857	2	2	Xu	REFSEQ hypothetical protein
VOG21858	2	2	Xu	REFSEQ hypothetical protein
VOG21859	2	2	Xu	REFSEQ hypothetical protein
VOG21860	2	2	Xu	REFSEQ hypothetical protein
VOG21861	2	2	Xu	REFSEQ hypothetical protein
VOG21862	2	2	Xu	REFSEQ sensor histidine kinase
VOG21863	2	2	Xu	REFSEQ hypothetical protein
VOG21864	2	2	Xu	REFSEQ hypothetical protein
VOG21865	2	2	Xu	REFSEQ hypothetical protein
VOG21866	2	2	Xu	REFSEQ hypothetical protein
VOG21867	2	2	Xu	REFSEQ hypothetical protein
VOG21868	2	2	Xu	REFSEQ hypothetical protein
VOG21869	2	2	Xu	REFSEQ hypothetical protein
VOG21870	2	2	Xu	REFSEQ hypothetical protein
VOG21871	2	2	Xu	REFSEQ hypothetical protein
VOG21872	2	2	Xu	REFSEQ hypothetical protein
VOG21873	2	2	Xu	REFSEQ hypothetical protein
VOG21874	2	2	Xu	REFSEQ hypothetical protein
VOG21875	2	2	Xu	REFSEQ hypothetical protein
VOG21876	2	2	Xu	REFSEQ hypothetical protein
VOG21877	2	2	Xu	REFSEQ hypothetical protein
VOG21878	2	2	Xu	REFSEQ hypothetical protein
VOG21879	2	2	Xu	REFSEQ hypothetical protein
VOG21880	2	2	Xu	REFSEQ hypothetical protein
VOG21881	2	2	Xu	REFSEQ hypothetical protein
VOG21882	2	2	Xu	REFSEQ hypothetical protein
VOG21883	2	2	Xu	REFSEQ DNA polymerase
VOG21884	2	2	Xu	REFSEQ hypothetical protein
VOG21885	2	2	Xu	REFSEQ hypothetical protein
VOG21886	2	2	Xu	REFSEQ hypothetical protein
VOG21887	2	2	Xu	REFSEQ hypothetical protein
VOG21888	2	2	Xu	REFSEQ hypothetical protein
VOG21889	2	2	Xu	REFSEQ hypothetical protein
VOG21890	2	2	Xu	REFSEQ hypothetical protein
VOG21891	2	2	Xu	REFSEQ hypothetical protein
VOG21892	2	2	Xu	REFSEQ hypothetical protein
VOG21893	2	2	Xu	REFSEQ hypothetical protein
VOG21894	2	2	Xu	REFSEQ hypothetical protein
VOG21895	2	2	Xu	REFSEQ hypothetical protein
VOG21896	2	2	Xu	REFSEQ hypothetical protein
VOG21897	2	2	Xu	REFSEQ hypothetical protein
VOG21898	2	2	Xu	REFSEQ hypothetical protein
VOG21899	2	2	Xu	REFSEQ phage protein
VOG21900	2	2	Xu	REFSEQ hypothetical protein
VOG21901	2	2	Xu	REFSEQ hypothetical protein
VOG21902	2	2	Xu	REFSEQ type II toxin-antitoxin system PemK/MazF family toxin
VOG21903	2	2	Xu	REFSEQ phage protein
VOG21904	2	2	Xu	REFSEQ hypothetical protein
VOG21905	2	2	Xu	REFSEQ hypothetical protein
VOG21906	2	2	Xu	REFSEQ hypothetical protein
VOG21907	2	2	Xu	REFSEQ hypothetical protein
VOG21908	2	2	Xu	REFSEQ hypothetical protein
VOG21909	2	2	Xu	REFSEQ hypothetical protein
VOG21910	2	2	Xu	REFSEQ DNA-binding protein
VOG21911	2	2	Xu	REFSEQ hypothetical protein
VOG21912	2	2	Xu	REFSEQ hypothetical protein
VOG21913	2	2	Xu	REFSEQ hypothetical protein
VOG21914	2	2	Xu	REFSEQ hypothetical protein
VOG21915	2	2	Xu	REFSEQ hypothetical protein
VOG21916	2	2	Xu	REFSEQ hypothetical protein
VOG21917	2	2	Xu	REFSEQ hypothetical protein
VOG21918	2	2	Xu	REFSEQ DNA primase
VOG21919	2	2	Xu	REFSEQ hypothetical protein
VOG21920	2	2	Xu	REFSEQ hypothetical protein
VOG21921	2	2	Xu	REFSEQ hypothetical protein
VOG21922	2	2	Xu	REFSEQ hypothetical protein
VOG21923	2	2	Xu	REFSEQ hypothetical protein
VOG21924	2	2	Xu	REFSEQ hypothetical protein
VOG21925	2	2	Xu	REFSEQ hypothetical protein
VOG21926	2	2	Xu	REFSEQ hypothetical protein
VOG21927	2	2	Xu	REFSEQ hypothetical protein
VOG21928	2	2	Xu	REFSEQ gp37
VOG21929	2	2	Xu	REFSEQ hypothetical protein
VOG21930	2	2	Xu	REFSEQ hypothetical protein
VOG21931	2	2	Xu	REFSEQ hypothetical protein
VOG21932	2	2	Xu	REFSEQ hypothetical protein
VOG21933	2	2	Xu	REFSEQ hypothetical protein
VOG21934	2	2	Xu	REFSEQ hypothetical protein
VOG21935	2	2	Xu	REFSEQ hypothetical protein
VOG21936	2	2	Xu	REFSEQ distal tail protein
VOG21937	3	2	Xu	REFSEQ hypothetical protein
VOG21938	2	2	Xu	REFSEQ hypothetical protein
VOG21939	2	2	Xu	REFSEQ hypothetical protein
VOG21940	2	2	Xu	REFSEQ hypothetical protein
VOG21941	3	2	Xu	REFSEQ hypothetical protein
VOG21942	2	2	Xu	REFSEQ hypothetical protein
VOG21943	2	2	Xu	REFSEQ hypothetical protein
VOG21944	2	2	Xu	REFSEQ hypothetical protein
VOG21945	2	2	Xu	REFSEQ hypothetical protein
VOG21946	2	2	Xu	REFSEQ hypothetical protein
VOG21947	2	2	Xu	REFSEQ hypothetical protein
VOG21948	2	2	Xu	REFSEQ hypothetical protein
VOG21949	2	2	Xu	REFSEQ hypothetical protein
VOG21950	2	2	Xu	REFSEQ hypothetical protein
VOG21951	2	2	Xu	REFSEQ hypothetical protein
VOG21952	2	2	Xu	REFSEQ hypothetical protein
VOG21953	2	2	Xu	REFSEQ hypothetical protein
VOG21954	2	2	Xu	REFSEQ hypothetical protein
VOG21955	2	2	Xu	REFSEQ hypothetical protein
VOG21956	2	2	Xu	REFSEQ hypothetical protein
VOG21957	2	2	Xu	REFSEQ hypothetical protein
VOG21958	2	2	Xu	REFSEQ hypothetical protein
VOG21959	2	2	Xu	REFSEQ gp48
VOG21960	2	2	Xu	REFSEQ hypothetical protein
VOG21961	2	2	Xu	REFSEQ hypothetical protein
VOG21962	2	2	Xu	REFSEQ hypothetical protein
VOG21963	2	2	Xu	REFSEQ gp41
VOG21964	2	2	Xu	REFSEQ gp42
VOG21965	2	2	Xu	REFSEQ gp13
VOG21966	2	2	Xu	REFSEQ AcrIIA2 family anti-CRISPR protein
VOG21967	2	2	Xu	REFSEQ hypothetical protein
VOG21968	2	2	Xu	REFSEQ gp50
VOG21969	2	2	Xu	REFSEQ gp48
VOG21970	2	2	Xu	REFSEQ gp49
VOG21971	2	2	Xu	REFSEQ hypothetical protein
VOG21972	2	2	Xu	REFSEQ hypothetical protein
VOG21973	2	2	Xu	REFSEQ hypothetical protein
VOG21974	2	2	Xu	REFSEQ hypothetical protein
VOG21975	2	2	Xu	REFSEQ hypothetical protein
VOG21976	2	2	Xu	REFSEQ hypothetical protein
VOG21977	2	2	Xu	REFSEQ hypothetical protein
VOG21978	2	2	Xu	REFSEQ hypothetical protein
VOG21979	2	2	Xu	REFSEQ hypothetical protein
VOG21980	2	2	Xu	REFSEQ hypothetical protein
VOG21981	2	2	Xu	REFSEQ hypothetical protein
VOG21982	2	2	Xu	REFSEQ hypothetical protein
VOG21983	2	2	Xu	REFSEQ hypothetical protein
VOG21984	2	2	Xu	REFSEQ hypothetical protein
VOG21985	2	2	Xu	REFSEQ hypothetical protein
VOG21986	2	2	Xu	REFSEQ hypothetical protein
VOG21987	2	2	Xu	REFSEQ hypothetical protein
VOG21988	2	2	Xu	REFSEQ hypothetical protein
VOG21989	2	2	Xu	REFSEQ hypothetical protein
VOG21990	2	2	Xu	REFSEQ hypothetical protein
VOG21991	2	2	Xu	REFSEQ hypothetical protein
VOG21992	2	2	Xu	REFSEQ hypothetical protein
VOG21993	2	2	Xu	REFSEQ hypothetical protein
VOG21994	2	2	Xu	REFSEQ hypothetical protein
VOG21995	3	2	Xu	REFSEQ hypothetical protein
VOG21996	2	2	Xu	REFSEQ hypothetical protein
VOG21997	2	2	Xu	REFSEQ hypothetical protein
VOG21998	2	2	Xu	REFSEQ hypothetical protein
VOG21999	2	2	Xu	REFSEQ hypothetical protein
VOG22000	2	2	Xu	REFSEQ hypothetical protein
VOG22001	2	2	Xu	REFSEQ hypothetical protein
VOG22002	2	2	Xu	REFSEQ hypothetical protein
VOG22003	2	2	Xu	REFSEQ hypothetical protein
VOG22004	2	2	Xu	REFSEQ hypothetical protein
VOG22005	2	2	Xu	REFSEQ hypothetical protein
VOG22006	2	2	Xu	REFSEQ hypothetical protein
VOG22007	2	2	Xu	REFSEQ hypothetical protein
VOG22008	2	2	Xu	REFSEQ hypothetical protein
VOG22009	4	2	Xu	REFSEQ hypothetical protein
VOG22010	2	2	Xu	REFSEQ hypothetical protein
VOG22011	2	2	Xu	REFSEQ hypothetical protein
VOG22012	2	2	Xu	REFSEQ hypothetical protein
VOG22013	2	2	Xu	REFSEQ hypothetical protein
VOG22014	2	2	Xu	REFSEQ hypothetical protein
VOG22015	2	2	Xu	REFSEQ hypothetical protein
VOG22016	2	2	Xu	REFSEQ hypothetical protein
VOG22017	2	2	Xu	REFSEQ hypothetical protein
VOG22018	2	2	Xu	REFSEQ hypothetical protein
VOG22019	2	2	Xu	REFSEQ hypothetical protein
VOG22020	2	2	Xu	REFSEQ hypothetical protein
VOG22021	2	2	Xu	REFSEQ hypothetical protein
VOG22022	2	2	Xu	REFSEQ hypothetical protein
VOG22023	2	2	Xu	REFSEQ hypothetical protein
VOG22024	2	2	Xu	REFSEQ hypothetical protein
VOG22025	2	2	Xu	REFSEQ hypothetical protein
VOG22026	2	2	Xu	REFSEQ hypothetical protein
VOG22027	2	2	Xu	REFSEQ hypothetical protein
VOG22028	2	2	Xu	REFSEQ hypothetical protein
VOG22029	2	2	Xu	REFSEQ hypothetical protein
VOG22030	2	2	Xu	REFSEQ hypothetical protein
VOG22031	2	2	Xu	REFSEQ hypothetical protein
VOG22032	2	2	Xu	REFSEQ hypothetical protein
VOG22033	2	2	Xu	REFSEQ hypothetical protein
VOG22034	2	2	Xu	REFSEQ hypothetical protein
VOG22035	2	2	Xu	REFSEQ hypothetical protein
VOG22036	2	2	Xu	REFSEQ hypothetical protein
VOG22037	3	2	Xu	REFSEQ hypothetical protein
VOG22038	2	2	Xu	REFSEQ hypothetical protein
VOG22039	2	2	Xu	REFSEQ hypothetical protein
VOG22040	2	2	Xu	REFSEQ hypothetical protein
VOG22041	2	2	Xu	REFSEQ hypothetical protein
VOG22042	2	2	Xu	REFSEQ hypothetical protein
VOG22043	2	2	Xu	REFSEQ hypothetical protein
VOG22044	2	2	Xu	REFSEQ hypothetical protein
VOG22045	2	2	Xu	REFSEQ hypothetical protein
VOG22046	2	2	Xu	REFSEQ hypothetical protein
VOG22047	2	2	Xu	REFSEQ hypothetical protein
VOG22048	2	2	Xu	REFSEQ hypothetical protein
VOG22049	2	2	Xu	REFSEQ hypothetical protein
VOG22050	2	2	Xu	REFSEQ hypothetical protein
VOG22051	2	2	Xu	REFSEQ transcriptional regulator
VOG22052	2	2	Xu	REFSEQ hypothetical protein
VOG22053	2	2	Xu	REFSEQ head-tail connector
VOG22054	2	2	Xu	REFSEQ gp33 putative acylhydrolase
VOG22055	2	2	Xu	REFSEQ hypothetical protein
VOG22056	2	2	Xu	REFSEQ hypothetical protein
VOG22057	2	2	Xu	REFSEQ hypothetical protein
VOG22058	2	2	Xu	REFSEQ hypothetical protein
VOG22059	2	2	Xu	REFSEQ hypothetical protein
VOG22060	2	2	Xu	REFSEQ hypothetical protein
VOG22061	2	2	Xu	REFSEQ hypothetical protein
VOG22062	2	2	Xu	REFSEQ hypothetical protein
VOG22063	2	2	Xu	REFSEQ hypothetical protein
VOG22064	2	2	Xu	REFSEQ hypothetical protein
VOG22065	2	2	Xu	REFSEQ hypothetical protein
VOG22066	2	2	Xu	REFSEQ hypothetical protein
VOG22067	2	2	Xu	REFSEQ hypothetical protein
VOG22068	2	2	Xu	REFSEQ hypothetical protein
VOG22069	2	2	Xu	REFSEQ hypothetical protein
VOG22070	2	2	Xu	REFSEQ hypothetical protein
VOG22071	2	2	Xu	REFSEQ hypothetical protein
VOG22072	2	2	Xu	REFSEQ hypothetical protein
VOG22073	2	2	Xu	REFSEQ hypothetical protein
VOG22074	2	2	Xu	REFSEQ hypothetical protein
VOG22075	2	2	Xu	REFSEQ hypothetical protein
VOG22076	2	2	Xu	REFSEQ hypothetical protein
VOG22077	2	2	Xu	REFSEQ hypothetical protein
VOG22078	2	2	Xu	REFSEQ hypothetical protein
VOG22079	2	2	Xu	REFSEQ hypothetical protein
VOG22080	2	2	Xu	REFSEQ hypothetical protein
VOG22081	2	2	Xu	REFSEQ hypothetical protein
VOG22082	2	2	Xu	REFSEQ Cysteine desulfurase, SufS subfamily
VOG22083	2	2	Xu	REFSEQ hypothetical protein
VOG22084	2	2	Xu	REFSEQ hypothetical protein
VOG22085	2	2	Xu	REFSEQ hypothetical protein
VOG22086	2	2	Xu	REFSEQ hypothetical protein
VOG22087	2	2	Xu	REFSEQ hypothetical protein
VOG22088	2	2	Xu	REFSEQ hypothetical protein
VOG22089	2	2	Xu	REFSEQ hypothetical protein
VOG22090	2	2	Xu	REFSEQ hypothetical protein
VOG22091	2	2	Xu	REFSEQ hypothetical protein
VOG22092	2	2	Xu	REFSEQ hypothetical protein
VOG22093	2	2	Xu	REFSEQ hypothetical protein
VOG22094	2	2	Xu	REFSEQ hypothetical protein
VOG22095	2	2	Xu	REFSEQ D-alanyl-D-alanine carboxypeptidase
VOG22096	2	2	Xu	REFSEQ hypothetical protein
VOG22097	2	2	Xu	REFSEQ hypothetical protein
VOG22098	2	2	Xu	REFSEQ hypothetical protein
VOG22099	2	2	Xu	REFSEQ hypothetical protein
VOG22100	2	2	Xu	REFSEQ hypothetical protein
VOG22101	2	2	Xu	REFSEQ hypothetical protein
VOG22102	2	2	Xu	REFSEQ helix-turn-helix domain-containing protein
VOG22103	2	2	Xu	REFSEQ helix-turn-helix domain-containing protein
VOG22104	2	2	Xu	REFSEQ hypothetical protein
VOG22105	2	2	Xu	REFSEQ hypothetical protein
VOG22106	2	2	Xu	REFSEQ hypothetical protein
VOG22107	2	2	Xu	REFSEQ hypothetical protein
VOG22108	2	2	Xu	REFSEQ hypothetical protein
VOG22109	2	2	Xu	REFSEQ hypothetical protein
VOG22110	2	2	Xu	REFSEQ hypothetical protein
VOG22111	2	2	Xu	REFSEQ hypothetical protein
VOG22112	2	2	Xu	REFSEQ RNA-DNA and DNA-DNA helicase
VOG22113	2	2	Xu	REFSEQ hypothetical protein
VOG22114	2	2	Xu	REFSEQ hypothetical protein
VOG22115	2	2	Xu	REFSEQ hypothetical protein
VOG22116	2	2	Xu	REFSEQ hypothetical protein
VOG22117	2	2	Xu	REFSEQ hypothetical protein
VOG22118	2	2	Xu	REFSEQ hypothetical protein
VOG22119	2	2	Xu	REFSEQ hypothetical protein
VOG22120	2	2	Xu	REFSEQ hypothetical protein
VOG22121	2	2	Xu	REFSEQ hypothetical protein
VOG22122	2	2	Xu	REFSEQ hypothetical protein
VOG22123	2	2	Xu	REFSEQ hypothetical protein
VOG22124	2	2	Xu	REFSEQ hypothetical protein
VOG22125	2	2	Xu	REFSEQ hypothetical protein
VOG22126	2	2	Xu	REFSEQ hypothetical protein
VOG22127	2	2	Xu	REFSEQ hypothetical protein
VOG22128	2	2	Xu	REFSEQ hypothetical protein
VOG22129	2	2	Xu	REFSEQ hypothetical protein
VOG22130	2	2	Xu	REFSEQ hypothetical protein
VOG22131	2	2	Xu	REFSEQ hypothetical protein
VOG22132	2	2	Xu	REFSEQ hypothetical protein
VOG22133	2	2	Xu	REFSEQ hypothetical protein
VOG22134	2	2	Xu	REFSEQ hypothetical protein
VOG22135	2	2	Xu	REFSEQ hypothetical protein
VOG22136	2	2	Xu	REFSEQ hypothetical protein
VOG22137	2	2	Xu	REFSEQ hypothetical protein
VOG22138	2	2	Xu	REFSEQ hypothetical protein
VOG22139	2	2	Xu	REFSEQ hypothetical protein
VOG22140	2	2	Xu	REFSEQ hypothetical protein
VOG22141	2	2	Xu	REFSEQ hypothetical protein
VOG22142	2	2	Xu	REFSEQ hypothetical protein
VOG22143	2	2	Xu	REFSEQ hypothetical protein
VOG22144	2	2	Xu	REFSEQ hypothetical protein
VOG22145	2	2	Xu	REFSEQ hypothetical protein
VOG22146	2	2	Xu	REFSEQ hypothetical protein
VOG22147	2	2	Xu	REFSEQ hypothetical protein
VOG22148	2	2	Xu	REFSEQ hypothetical protein
VOG22149	2	2	Xu	REFSEQ hypothetical protein
VOG22150	2	2	Xu	REFSEQ hypothetical protein
VOG22151	2	2	Xu	REFSEQ hypothetical protein
VOG22152	2	2	Xu	REFSEQ hypothetical protein
VOG22153	2	2	Xu	REFSEQ hypothetical protein
VOG22154	2	2	Xu	REFSEQ hypothetical protein
VOG22155	2	2	Xu	REFSEQ hypothetical protein
VOG22156	2	2	Xu	REFSEQ hypothetical protein
VOG22157	2	2	Xu	REFSEQ hypothetical protein
VOG22158	2	2	Xu	REFSEQ hypothetical protein
VOG22159	2	2	Xu	REFSEQ hypothetical protein
VOG22160	2	2	Xu	REFSEQ hypothetical protein
VOG22161	2	2	Xu	REFSEQ hypothetical protein
VOG22162	2	2	Xu	REFSEQ hypothetical protein
VOG22163	2	2	Xu	REFSEQ hypothetical protein
VOG22164	2	2	Xu	REFSEQ hypothetical protein
VOG22165	2	2	Xu	REFSEQ hypothetical protein
VOG22166	2	2	Xu	REFSEQ hypothetical protein
VOG22167	2	2	Xu	REFSEQ hypothetical protein
VOG22168	2	2	Xu	REFSEQ hypothetical protein
VOG22169	2	2	Xu	REFSEQ hypothetical protein
VOG22170	2	2	Xu	REFSEQ hypothetical protein
VOG22171	2	2	Xu	REFSEQ hypothetical protein
VOG22172	2	2	Xu	REFSEQ hypothetical protein
VOG22173	2	2	Xu	REFSEQ hypothetical protein
VOG22174	2	2	Xu	REFSEQ hypothetical protein
VOG22175	2	2	Xu	REFSEQ hypothetical protein
VOG22176	2	2	Xu	REFSEQ hypothetical protein
VOG22177	2	2	Xu	REFSEQ gp184
VOG22178	2	2	Xu	REFSEQ hypothetical protein
VOG22179	2	2	Xu	REFSEQ hypothetical protein
VOG22180	2	2	Xu	REFSEQ hypothetical protein
VOG22181	2	2	Xu	REFSEQ hypothetical protein
VOG22182	2	2	Xu	REFSEQ hypothetical protein
VOG22183	2	2	Xu	REFSEQ hypothetical protein
VOG22184	2	2	Xu	REFSEQ hypothetical protein
VOG22185	2	2	Xu	REFSEQ hypothetical protein
VOG22186	2	2	Xu	REFSEQ hypothetical protein
VOG22187	2	2	Xu	REFSEQ hypothetical protein
VOG22188	2	2	Xu	REFSEQ hypothetical protein
VOG22189	2	2	Xu	REFSEQ hypothetical protein
VOG22190	2	2	Xu	REFSEQ gp167
VOG22191	2	2	Xu	REFSEQ hypothetical protein
VOG22192	2	2	Xu	REFSEQ hypothetical protein
VOG22193	2	2	Xu	REFSEQ hypothetical protein
VOG22194	2	2	Xu	REFSEQ hypothetical protein
VOG22195	2	2	Xu	REFSEQ hypothetical protein
VOG22196	2	2	Xu	REFSEQ hypothetical protein
VOG22197	2	2	Xu	REFSEQ hypothetical protein
VOG22198	2	2	Xu	REFSEQ hypothetical protein
VOG22199	2	2	Xu	REFSEQ hypothetical protein
VOG22200	2	2	Xu	REFSEQ hypothetical protein
VOG22201	2	2	Xu	REFSEQ hypothetical protein
VOG22202	2	2	Xu	REFSEQ hypothetical protein
VOG22203	2	2	Xu	REFSEQ hypothetical protein
VOG22204	2	2	Xu	REFSEQ hypothetical protein
VOG22205	2	2	Xu	REFSEQ hypothetical protein
VOG22206	2	2	Xu	REFSEQ hypothetical protein
VOG22207	2	2	Xu	REFSEQ hypothetical protein
VOG22208	3	2	Xu	REFSEQ hypothetical protein
VOG22209	2	2	Xu	REFSEQ hypothetical protein
VOG22210	2	2	Xu	REFSEQ hypothetical protein
VOG22211	2	2	Xu	REFSEQ hypothetical protein
VOG22212	2	2	Xu	REFSEQ hypothetical protein
VOG22213	2	2	Xu	REFSEQ hypothetical protein
VOG22214	2	2	Xu	REFSEQ hypothetical protein
VOG22215	2	2	Xu	REFSEQ hypothetical protein
VOG22216	2	2	Xu	REFSEQ hypothetical protein
VOG22217	2	2	Xu	REFSEQ hypothetical protein
VOG22218	2	2	Xu	REFSEQ hypothetical protein
VOG22219	3	2	Xu	REFSEQ hypothetical protein
VOG22220	2	2	Xu	REFSEQ hypothetical protein
VOG22221	2	2	Xu	REFSEQ hypothetical protein
VOG22222	2	2	Xu	REFSEQ terminase large subunit
VOG22223	2	2	Xu	REFSEQ hypothetical protein
VOG22224	2	2	Xu	REFSEQ hypothetical protein
VOG22225	2	2	Xu	REFSEQ hypothetical protein
VOG22226	2	2	Xu	REFSEQ hypothetical protein
VOG22227	2	2	Xu	REFSEQ hypothetical protein
VOG22228	2	2	Xu	REFSEQ hypothetical protein
VOG22229	2	2	Xu	REFSEQ hypothetical protein
VOG22230	2	2	Xu	REFSEQ hypothetical protein
VOG22231	2	2	Xu	REFSEQ hypothetical protein
VOG22232	2	2	Xu	REFSEQ hypothetical protein
VOG22233	2	2	Xu	REFSEQ hypothetical protein
VOG22234	2	2	Xu	REFSEQ hypothetical protein
VOG22235	2	2	Xu	REFSEQ hypothetical protein
VOG22236	2	2	Xu	REFSEQ hypothetical protein
VOG22237	2	2	Xu	REFSEQ hypothetical protein
VOG22238	2	2	Xu	REFSEQ hypothetical protein
VOG22239	2	2	Xu	REFSEQ hypothetical protein
VOG22240	2	2	Xu	REFSEQ hypothetical protein
VOG22241	2	2	Xu	REFSEQ hypothetical protein
VOG22242	2	2	Xu	REFSEQ hypothetical protein
VOG22243	2	2	Xu	REFSEQ hypothetical protein
VOG22244	2	2	Xu	REFSEQ hypothetical protein
VOG22245	2	2	Xu	REFSEQ hypothetical protein
VOG22246	2	2	Xu	REFSEQ hypothetical protein
VOG22247	2	2	Xu	REFSEQ hypothetical protein
VOG22248	2	2	Xu	REFSEQ hypothetical protein
VOG22249	2	2	Xu	REFSEQ DNA helicase
VOG22250	2	2	Xu	REFSEQ hypothetical protein
VOG22251	2	2	Xu	REFSEQ hypothetical protein
VOG22252	2	2	Xu	REFSEQ hypothetical protein
VOG22253	2	2	Xu	REFSEQ hypothetical protein
VOG22254	2	2	Xu	REFSEQ hypothetical protein
VOG22255	2	2	Xu	REFSEQ hypothetical protein
VOG22256	2	2	Xu	REFSEQ hypothetical protein
VOG22257	2	2	Xu	REFSEQ hypothetical protein
VOG22258	2	2	Xu	REFSEQ hypothetical protein
VOG22259	2	2	Xu	REFSEQ hypothetical protein
VOG22260	2	2	Xu	REFSEQ hypothetical protein
VOG22261	2	2	Xu	REFSEQ hypothetical protein
VOG22262	2	2	Xu	REFSEQ hypothetical protein
VOG22263	2	2	Xu	REFSEQ hypothetical protein
VOG22264	2	2	Xu	REFSEQ hypothetical protein
VOG22265	2	2	Xu	REFSEQ hypothetical protein
VOG22266	2	2	Xu	REFSEQ Orf19
VOG22267	2	2	Xu	REFSEQ gp069
VOG22268	2	2	Xu	REFSEQ hypothetical protein
VOG22269	2	2	Xu	REFSEQ Orf27
VOG22270	2	2	Xr	sp|P0AG74|RUSA_ECOLI Crossover junction endodeoxyribonuclease RusA
VOG22271	2	2	Xu	REFSEQ hypothetical protein
VOG22272	2	2	Xu	REFSEQ hypothetical protein
VOG22273	2	2	Xu	REFSEQ hypothetical protein
VOG22274	2	2	Xu	REFSEQ sigma-70 family RNA polymerase sigma factor
VOG22275	2	2	Xu	REFSEQ putative tape measure protein
VOG22276	2	2	Xu	REFSEQ hypothetical protein
VOG22277	2	2	Xu	REFSEQ hypothetical protein
VOG22278	2	2	Xu	REFSEQ hypothetical protein
VOG22279	2	2	Xu	REFSEQ hypothetical protein
VOG22280	2	2	Xu	REFSEQ hypothetical protein
VOG22281	2	2	Xu	REFSEQ DUF4868 domain-containing protein
